method,MSE
bart_all,5.687770774895089
bart_PC2_econ,7.867996649100058
bart_PC3_econ,4.136246341390174
bart_raw_econ,4.39526137173459
bart_well_us,6.843492094832513
bart_well,4.06228303890731
