method,MSE
bart_all,6.345005696388314
bart_PC2_econ,4.99779009375537
bart_PC3_econ,3.546527938158814
bart_raw_econ,5.731983044691867
bart_well_us,7.047530640884975
bart_well,4.086651191301499
