year,prediction,method
2016,45.12360752580386,bart_all
2016,45.767853625880704,bart_all
2016,47.13656151185687,bart_all
2016,46.73142978840492,bart_all
2016,46.48074657843058,bart_all
2016,45.839155180312645,bart_all
2016,46.03443375271232,bart_all
2016,45.609333971681764,bart_all
2016,45.85272156434808,bart_all
2016,45.76253090796702,bart_all
2016,46.05267278026283,bart_all
2016,46.1115395602801,bart_all
2016,46.1207291183832,bart_all
2016,45.94411660098163,bart_all
2016,45.850361477771685,bart_all
2016,45.899881230187376,bart_all
2016,46.13143943530736,bart_all
2016,46.22866340796336,bart_all
2016,46.21558283276876,bart_all
2016,46.412375358100526,bart_all
2016,46.20733334441997,bart_all
2016,46.184301562730376,bart_all
2016,46.27451186297715,bart_all
2016,46.51450270149731,bart_all
2016,46.61850114263234,bart_all
2016,46.67346681012651,bart_all
2016,46.60855775320866,bart_all
2016,46.60481722456589,bart_all
2016,46.79601997111495,bart_all
2016,46.820270115423035,bart_all
2016,46.92454245715548,bart_all
2016,47.0198679659087,bart_all
2016,47.07032152846353,bart_all
2016,47.17074524725703,bart_all
2016,47.33493554253203,bart_all
2016,47.29915513651417,bart_all
2016,47.408396591183404,bart_all
2016,47.386253694632494,bart_all
2016,47.38533826679114,bart_all
2016,47.47113596869945,bart_all
2016,47.51746236735078,bart_all
2016,47.544081309495894,bart_all
2016,47.60996944522449,bart_all
2016,47.461107009443424,bart_all
2016,47.479809000347124,bart_all
2016,47.649298967213625,bart_all
2016,47.63153023418933,bart_all
2016,47.621886596821994,bart_all
2016,47.65488164039985,bart_all
2016,47.72858039739222,bart_all
2016,47.694893488200265,bart_all
2016,47.62420118574835,bart_all
2016,47.528741367702494,bart_all
2016,47.673493004814794,bart_all
2016,47.76637936327509,bart_all
2016,47.85081983070018,bart_all
2016,47.81241984577367,bart_all
2016,47.756838633781086,bart_all
2016,47.765197365789845,bart_all
2016,47.79895738102485,bart_all
2016,47.78267450361838,bart_all
2016,47.73055833613452,bart_all
2016,47.674938432836484,bart_all
2016,47.583352847668564,bart_all
2016,47.562444001220065,bart_all
2016,47.488091329774434,bart_all
2016,47.559019495051324,bart_all
2016,47.59790008744369,bart_all
2016,47.621255759769326,bart_all
2016,47.612484705426375,bart_all
2016,47.63257674283885,bart_all
2016,47.66789357160932,bart_all
2016,47.625626667730764,bart_all
2016,47.62524317285687,bart_all
2016,47.498866697375526,bart_all
2016,47.57698361125145,bart_all
2016,47.56763902902433,bart_all
2016,47.56282202716673,bart_all
2016,47.52055609476757,bart_all
2016,47.430688146450294,bart_all
2016,47.382905264929356,bart_all
2016,47.30792596304617,bart_all
2016,47.30667491378897,bart_all
2016,47.28022934645282,bart_all
2016,47.27857640457786,bart_all
2016,47.27395358910215,bart_all
2016,47.255448454041954,bart_all
2016,47.2715069004246,bart_all
2016,47.3271057029786,bart_all
2016,47.311306832474564,bart_all
2016,47.259941756808296,bart_all
2016,47.282298979144656,bart_all
2016,47.30868204278253,bart_all
2016,47.43035768787349,bart_all
2016,47.396623463814954,bart_all
2016,47.38771241116828,bart_all
2016,47.40359779024269,bart_all
2016,47.3804906802186,bart_all
2016,47.41051213825284,bart_all
2016,47.38141219125812,bart_all
2016,47.36177495298776,bart_all
2016,47.35654870728482,bart_all
2016,47.362718814128556,bart_all
2016,47.332255940988105,bart_all
2016,47.39101265179557,bart_all
2016,47.35958117322244,bart_all
2016,47.35441113980964,bart_all
2016,47.3463963662566,bart_all
2016,47.32740965199988,bart_all
2016,47.31717092486399,bart_all
2016,47.3193469440983,bart_all
2016,47.34829227803129,bart_all
2016,47.40329565750006,bart_all
2016,47.430175296122634,bart_all
2016,47.4392424791578,bart_all
2016,47.45133788805923,bart_all
2016,47.44209937379213,bart_all
2016,47.42766264043054,bart_all
2016,47.40431098242406,bart_all
2016,47.422569075510566,bart_all
2016,47.41405215477379,bart_all
2016,47.38258018269461,bart_all
2016,47.360102422674686,bart_all
2016,47.36201152684075,bart_all
2016,47.38181714599076,bart_all
2016,47.38246803327513,bart_all
2016,47.34629364416181,bart_all
2016,47.350321436657694,bart_all
2016,47.37233650351324,bart_all
2016,47.370368178368274,bart_all
2016,47.424819323309066,bart_all
2016,47.4387263672005,bart_all
2016,47.464926156146596,bart_all
2016,47.427829278969696,bart_all
2016,47.44064042900882,bart_all
2016,47.4359934040886,bart_all
2016,47.41739712704398,bart_all
2016,47.42578045735112,bart_all
2016,47.40041434252744,bart_all
2016,47.35977243078132,bart_all
2016,47.332179750729864,bart_all
2016,47.352806925833605,bart_all
2016,47.39589497472397,bart_all
2016,47.38728447351728,bart_all
2016,47.40120956766328,bart_all
2016,47.439579871208984,bart_all
2016,47.43817121042133,bart_all
2016,47.44130231854563,bart_all
2016,47.41638249312318,bart_all
2016,47.408049632960356,bart_all
2016,47.39789475481446,bart_all
2016,47.399219927270316,bart_all
2016,47.400243718249556,bart_all
2016,47.38512620301785,bart_all
2016,47.39752780961227,bart_all
2016,47.39452288030703,bart_all
2016,47.400367363878566,bart_all
2016,47.42306627707972,bart_all
2016,47.42407303683611,bart_all
2016,47.401640697258586,bart_all
2016,47.385382470293365,bart_all
2016,47.353996466423546,bart_all
2016,47.34514337424181,bart_all
2016,47.31985430597681,bart_all
2016,47.33532794787543,bart_all
2016,47.30877298735474,bart_all
2016,47.33523403737111,bart_all
2016,47.339376132207775,bart_all
2016,47.352902185523504,bart_all
2016,47.359389302358316,bart_all
2016,47.3132865837128,bart_all
2016,47.304598727016,bart_all
2016,47.295050741369145,bart_all
2016,47.275603260686495,bart_all
2016,47.295470307893396,bart_all
2016,47.287968154399394,bart_all
2016,47.26871375842545,bart_all
2016,47.23008503994928,bart_all
2016,47.23120166531628,bart_all
2016,47.236681931743874,bart_all
2016,47.21209488521198,bart_all
2016,47.20030121204742,bart_all
2016,47.19276172431232,bart_all
2016,47.188664758007604,bart_all
2016,47.171781222616474,bart_all
2016,47.16000493376154,bart_all
2016,47.173195451228146,bart_all
2016,47.19678886007046,bart_all
2016,47.20123788881214,bart_all
2016,47.1907608151746,bart_all
2016,47.20533218532026,bart_all
2016,47.196771829764074,bart_all
2016,47.216168300054754,bart_all
2016,47.228032245743236,bart_all
2016,47.22941774386497,bart_all
2016,47.2360174040742,bart_all
2016,47.23408027424711,bart_all
2016,47.22914151754682,bart_all
2016,47.23261923940143,bart_all
2016,47.2476553883386,bart_all
2016,47.28831831509236,bart_all
2016,47.27562625370221,bart_all
2016,47.269600542911896,bart_all
2016,47.29342209886516,bart_all
2016,47.28540377661669,bart_all
2016,47.28937599446529,bart_all
2016,47.312034930441655,bart_all
2016,47.319814025961236,bart_all
2016,47.34512031214159,bart_all
2016,47.33707819664066,bart_all
2016,47.29468445252799,bart_all
2016,47.309312756060336,bart_all
2016,47.301691054671146,bart_all
2016,47.31380659481784,bart_all
2016,47.32281540126387,bart_all
2016,47.31872766175941,bart_all
2016,47.34013830977204,bart_all
2016,47.3220842745347,bart_all
2016,47.32471907420866,bart_all
2016,47.29669952519216,bart_all
2016,47.31090847361167,bart_all
2016,47.31446831469691,bart_all
2016,47.35020988849425,bart_all
2016,47.330810346900115,bart_all
2016,47.34626536073589,bart_all
2016,47.36463413756749,bart_all
2016,47.34626713774409,bart_all
2016,47.331314137528466,bart_all
2016,47.33670042585781,bart_all
2016,47.362744083643335,bart_all
2016,47.3748520243673,bart_all
2016,47.33763362368347,bart_all
2016,47.34402544370678,bart_all
2016,47.34210712850229,bart_all
2016,47.348555392127544,bart_all
2016,47.34709410908784,bart_all
2016,47.33930398742011,bart_all
2016,47.32023029654667,bart_all
2016,47.32919213222482,bart_all
2016,47.33430807778159,bart_all
2016,47.337452837644186,bart_all
2016,47.3461960677631,bart_all
2016,47.34377129073793,bart_all
2016,47.37788164630467,bart_all
2016,47.39148655035755,bart_all
2016,47.39023363739785,bart_all
2016,47.40511864722177,bart_all
2016,47.391219327426676,bart_all
2016,47.37155634897647,bart_all
2016,47.36815285136963,bart_all
2016,47.37976634000146,bart_all
2016,47.39031599731848,bart_all
2016,47.38467403624246,bart_all
2016,47.37260822501882,bart_all
2016,47.36332117252843,bart_all
2016,47.3598928106568,bart_all
2016,47.36512345802121,bart_all
2016,47.36796995074881,bart_all
2016,47.368727967823034,bart_all
2016,47.36177472004476,bart_all
2016,47.34950796162566,bart_all
2016,47.360280389044355,bart_all
2016,47.37152424520346,bart_all
2016,47.36542796538749,bart_all
2016,47.36790311041473,bart_all
2016,47.37244958546248,bart_all
2016,47.38859624198073,bart_all
2016,47.38055822634274,bart_all
2016,47.36450390174846,bart_all
2016,47.38490085572552,bart_all
2016,47.40044545730753,bart_all
2016,47.38162918719835,bart_all
2016,47.37037969704901,bart_all
2016,47.38267999332491,bart_all
2016,47.38853500805177,bart_all
2016,47.38615988783569,bart_all
2016,47.3819207348714,bart_all
2016,47.393571291968655,bart_all
2016,47.41231155752823,bart_all
2016,47.411546332475055,bart_all
2016,47.42513144828981,bart_all
2016,47.446678814882596,bart_all
2016,47.46385129251962,bart_all
2016,47.47262265222835,bart_all
2016,47.465178356215276,bart_all
2016,47.45039236229766,bart_all
2016,47.44070077752327,bart_all
2016,47.444829452414055,bart_all
2016,47.46013464831015,bart_all
2016,47.451598343352195,bart_all
2016,47.45931117551408,bart_all
2016,47.47799100017055,bart_all
2016,47.48763672878278,bart_all
2016,47.47584061699916,bart_all
2016,47.46506243388783,bart_all
2016,47.47729628121097,bart_all
2016,47.51015371653183,bart_all
2016,47.51992645366832,bart_all
2016,47.515539215618354,bart_all
2016,47.520126955862054,bart_all
2016,47.51867673831862,bart_all
2016,47.5034870544606,bart_all
2016,47.50075877795476,bart_all
2016,47.49082403702819,bart_all
2016,47.4808798432784,bart_all
2016,47.46290149803602,bart_all
2016,47.46859694445313,bart_all
2016,47.49562161029215,bart_all
2016,47.50797172088099,bart_all
2016,47.50420537586307,bart_all
2016,47.48821511529048,bart_all
2016,47.4902384926209,bart_all
2016,47.48256627778987,bart_all
2016,47.4824091914051,bart_all
2016,47.48286343442689,bart_all
2016,47.480272580823026,bart_all
2016,47.47976354354872,bart_all
2016,47.49365138502074,bart_all
2016,47.47825310341257,bart_all
2016,47.490240639448835,bart_all
2016,47.47897942522841,bart_all
2016,47.49562649587787,bart_all
2016,47.48509534678858,bart_all
2016,47.47007390171247,bart_all
2016,47.47276904428195,bart_all
2016,47.461307726653736,bart_all
2016,47.440003511064205,bart_all
2016,47.43002004930787,bart_all
2016,47.43121346675251,bart_all
2016,47.43060998613856,bart_all
2016,47.42991174965886,bart_all
2016,47.4262935494787,bart_all
2016,47.434314117089464,bart_all
2016,47.43155894037493,bart_all
2016,47.422409338293235,bart_all
2016,47.42615833084531,bart_all
2016,47.41671782624296,bart_all
2016,47.42048961111342,bart_all
2016,47.427862322241225,bart_all
2016,47.43848758328518,bart_all
2016,47.436237039248525,bart_all
2016,47.426996459795525,bart_all
2016,47.452440704775135,bart_all
2016,47.44451831408128,bart_all
2016,47.43992670303514,bart_all
2016,47.44810067726837,bart_all
2016,47.43694216633726,bart_all
2016,47.42452349707482,bart_all
2016,47.408534538330024,bart_all
2016,47.41688124086238,bart_all
2016,47.42969122743045,bart_all
2016,47.424726740377835,bart_all
2016,47.42975874007551,bart_all
2016,47.43695284725755,bart_all
2016,47.42914119655492,bart_all
2016,47.425989416993396,bart_all
2016,47.426895802049685,bart_all
2016,47.42782289556315,bart_all
2016,47.440643087097556,bart_all
2016,47.43962267881581,bart_all
2016,47.442831986297215,bart_all
2016,47.43611259491462,bart_all
2016,47.42346995326049,bart_all
2016,47.40991454193579,bart_all
2016,47.40275976634156,bart_all
2016,47.415205454074055,bart_all
2016,47.399648806333175,bart_all
2016,47.39999968118468,bart_all
2016,47.40535815507916,bart_all
2016,47.39792436022856,bart_all
2016,47.39230744901527,bart_all
2016,47.38761462552659,bart_all
2016,47.39257501972104,bart_all
2016,47.40215246988395,bart_all
2016,47.40067188759895,bart_all
2016,47.3941133165148,bart_all
2016,47.40596750198716,bart_all
2016,47.40894929828461,bart_all
2016,47.41651904701822,bart_all
2016,47.40830640409676,bart_all
2016,47.40849710444928,bart_all
2016,47.41168425801588,bart_all
2016,47.41971577333338,bart_all
2016,47.41088709492154,bart_all
2016,47.405353968748884,bart_all
2016,47.3997363615524,bart_all
2016,47.39553866321072,bart_all
2016,47.39245963136075,bart_all
2016,47.40653499015296,bart_all
2016,47.4229970574154,bart_all
2016,47.413983348231234,bart_all
2016,47.403741965924326,bart_all
